fight_key,event,event_date,bout,winner,clean_actual_method,base_KO,base_SUB,base_DEC,knockdown_interaction,ground_strike_interaction,submission_attempt_interaction,td_access_interaction,control_interaction,offensive_wrestling_exposure_interaction,winner_round3_retention,opponent_round3_retention,winner_log_ufc_bouts,opponent_log_ufc_bouts
2026-08-29|Yan Xiaonan vs. Denise Gomes,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29T00:00:00+00:00,Yan Xiaonan vs. Denise Gomes,Denise Gomes,KO,0.18501396486316155,0.17531411669041297,0.6396719184464255,0.5082831325301205,83.29545139081674,1.4327181999888956,0.5944831959416613,0.39200075069864715,3.2191265060240966,0.7427737226277372,1.34014598540146,2.1972245773362196,2.639057329615259
2026-09-05|Dan Hooker vs. Salahdine Parnasse,UFC Fight Night: Hooker vs. Parnasse,2026-09-05T00:00:00+00:00,Dan Hooker vs. Salahdine Parnasse,Salahdine Parnasse,KO,0.603263646261658,0.15537681366932687,0.24135954006901517,,,,,,,,1.2655782455771956,0.0,3.2188758248682006
2026-09-05|Daniil Donchenko vs. Punahele Soriano,UFC Fight Night: Hooker vs. Parnasse,2026-09-05T00:00:00+00:00,Daniil Donchenko vs. Punahele Soriano,Daniil Donchenko,DEC,0.45856636047969557,0.07121431063411231,0.4702193288861921,2.629196105775904,25.727132729399735,0.0,0.2951188282689485,0.17285931936198626,1.3145980528879522,,0.8400000000000001,1.3862943611198906,2.4849066497880004
2026-09-05|Delphine Benouaich vs. Sofia Montenegro,UFC Fight Night: Hooker vs. Parnasse,2026-09-05T00:00:00+00:00,Delphine Benouaich vs. Sofia Montenegro,Delphine Benouaich,SUB,0.30756036937972947,0.35240801901251767,0.34003161160775286,,,,,,,,,0.0,0.0
2026-09-05|Fares Ziam vs. Axel Sola,UFC Fight Night: Hooker vs. Parnasse,2026-09-05T00:00:00+00:00,Fares Ziam vs. Axel Sola,Axel Sola,KO,0.30797401889923187,0.22499573016243476,0.4670302509383334,0.944386149003148,22.77685023164154,0.6185843135823238,0.5508919202518364,0.31358539615457326,5.013249310786431,1.690529641639644,0.7284218689414501,1.3862943611198906,2.4849066497880004
2026-09-05|Kurtis Campbell vs. Trevor Peek,UFC Fight Night: Hooker vs. Parnasse,2026-09-05T00:00:00+00:00,Kurtis Campbell vs. Trevor Peek,Kurtis Campbell,SUB,0.1708318443252747,0.1948881272440257,0.6342800284306995,0.0,0.0,0.0,2.5454779199074373,0.4695479280844341,8.157099697885197,,0.5650992063492064,0.6931471805599453,1.791759469228055
2026-09-05|Losene Keita vs. Muhammad Naimov,UFC Fight Night: Hooker vs. Parnasse,2026-09-05T00:00:00+00:00,Losene Keita vs. Muhammad Naimov,Losene Keita,KO,0.4465383219819164,0.06719584436181808,0.4862658336562655,0.0,0.0,0.0,0.0,0.0,,,0.8415480102227091,0.6931471805599453,2.0794415416798357
2026-09-05|Mario Pinto vs. Ryan Spann,UFC Fight Night: Hooker vs. Parnasse,2026-09-05T00:00:00+00:00,Mario Pinto vs. Ryan Spann,Mario Pinto,KO,0.6109202623976432,0.06717011950147286,0.3219096181008839,0.8087397669301145,153.1638494031741,1.770312245721038,1.0548333002758796,0.5449928654482503,17.741330635175583,,1.6142857142857143,1.3862943611198906,2.833213344056216
2026-09-05|Matthieu Duclos vs. Luis Felipe Dias,UFC Fight Night: Hooker vs. Parnasse,2026-09-05T00:00:00+00:00,Matthieu Duclos vs. Luis Felipe Dias,Matthieu Duclos,KO,0.5354959197777562,0.12103901595555984,0.34346506426668405,,,,,,,,,0.0,0.6931471805599453
2026-09-05|Michael Aljarouj vs. Fabia Sintes,UFC Fight Night: Hooker vs. Parnasse,2026-09-05T00:00:00+00:00,Michael Aljarouj vs. Fabia Sintes,Fabia Sintes,DEC,0.3339555179801649,0.15241871793746203,0.5136257640823731,,,,,,,,,0.0,0.0
